         1365951 function calls (1341936 primitive calls) in 133.986 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.254    0.127    0.254    0.127 /home/sujithpk/Desktop/road/src/cnn_model.py:310(label_to_img)
       24    0.000    0.000    0.254    0.011 /usr/local/lib/python3.5/dist-packages/tensorflow/python/training/optimizer.py:1123(_zeros_slot)
       24    0.000    0.000    0.252    0.011 /usr/local/lib/python3.5/dist-packages/tensorflow/python/training/slot_creator.py:163(create_zeros_slot)
       24    0.001    0.000    0.252    0.010 /usr/local/lib/python3.5/dist-packages/tensorflow/python/training/slot_creator.py:123(create_slot_with_initializer)
        8    0.000    0.000    0.250    0.031 /usr/local/lib/python3.5/dist-packages/PIL/ImageFile.py:463(_save)
       16    0.247    0.015    0.247    0.015 {method 'encode' of 'ImagingEncoder' objects}
       24    0.000    0.000    0.240    0.010 /usr/local/lib/python3.5/dist-packages/tensorflow/python/training/slot_creator.py:51(_create_slot_var)
       24    0.000    0.000    0.239    0.010 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/variable_scope.py:1452(get_variable)
       24    0.000    0.000    0.238    0.010 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/variable_scope.py:1164(get_variable)
       24    0.000    0.000    0.236    0.010 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/variable_scope.py:262(get_variable)
24651/14103    0.020    0.000    0.231    0.000 {built-in method builtins.next}
       24    0.000    0.000    0.230    0.010 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/variable_scope.py:414(_true_getter)
        8    0.027    0.003    0.230    0.029 /usr/local/lib/python3.5/dist-packages/PIL/Image.py:2457(fromarray)
       24    0.001    0.000    0.230    0.010 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/variable_scope.py:795(_get_single_variable)
       84    0.001    0.000    0.213    0.003 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/gradients_impl.py:383(_MaybeCompile)
        2    0.213    0.106    0.213    0.106 /home/sujithpk/Desktop/road/src/cnn_model.py:297(label_to_binary_img)
        1    0.000    0.000    0.210    0.210 /usr/local/lib/python3.5/dist-packages/tensorflow/python/training/optimizer.py:413(compute_gradients)
       84    0.000    0.000    0.209    0.002 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/gradients_impl.py:776(<lambda>)
        9    0.000    0.000    0.206    0.023 /home/sujithpk/Desktop/road/src/cnn_model.py:448(get_image_summary)
1548/1535    0.010    0.000    0.205    0.000 /usr/local/lib/python3.5/dist-packages/tensorflow/python/framework/ops.py:1055(internal_convert_to_tensor)
       12    0.000    0.000    0.203    0.017 /usr/local/lib/python3.5/dist-packages/PIL/Image.py:2353(frombytes)
        8    0.000    0.000    0.202    0.025 /usr/local/lib/python3.5/dist-packages/PIL/Image.py:2396(frombuffer)
       12    0.000    0.000    0.202    0.017 /usr/local/lib/python3.5/dist-packages/PIL/Image.py:2322(new)
       12    0.201    0.017    0.201    0.017 {built-in method PIL._imaging.fill}
        2    0.000    0.000    0.195    0.098 /usr/local/lib/python3.5/dist-packages/tensorflow/python/util/deprecation.py:76(_call_location)
        2    0.000    0.000    0.195    0.098 /usr/local/lib/python3.5/dist-packages/tensorflow/python/util/tf_inspect.py:40(currentframe)
        2    0.000    0.000    0.195    0.098 /usr/lib/python3.5/inspect.py:1462(stack)
        2    0.000    0.000    0.195    0.098 /usr/lib/python3.5/inspect.py:1434(getouterframes)
        4    0.010    0.002    0.195    0.049 /home/sujithpk/Desktop/road/src/functions.py:100(img_crop)
       11    0.000    0.000    0.195    0.018 /usr/lib/python3.5/inspect.py:1394(getframeinfo)
        1    0.009    0.009    0.195    0.195 /home/sujithpk/Desktop/road/src/functions.py:197(<listcomp>)
       11    0.000    0.000    0.194    0.018 /usr/lib/python3.5/inspect.py:736(findsource)
        1    0.000    0.000    0.188    0.188 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/nn_ops.py:1917(softmax_cross_entropy_with_logits)
        1    0.000    0.000    0.187    0.187 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/nn_ops.py:1788(softmax_cross_entropy_with_logits_v2)
      936    0.016    0.000    0.183    0.000 /usr/local/lib/python3.5/dist-packages/tensorflow/python/util/tf_inspect.py:219(getcallargs)
     6871    0.015    0.000    0.179    0.000 /home/sujithpk/Desktop/road/src/functions.py:42(augment_image)
        2    0.000    0.000    0.166    0.083 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/array_ops.py:1703(placeholder)
        2    0.000    0.000    0.166    0.083 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/gen_array_ops.py:4996(placeholder)
        2    0.000    0.000    0.164    0.082 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/nn_ops.py:1608(_flatten_outer_dims)
      136    0.001    0.000    0.163    0.001 /usr/local/lib/python3.5/dist-packages/tensorflow/python/framework/constant_op.py:225(_constant_tensor_conversion_function)
     2363    0.163    0.000    0.163    0.000 {method 'SerializeToString' of 'google.protobuf.pyext._message.CMessage' objects}
     1948    0.012    0.000    0.162    0.000 /usr/local/lib/python3.5/dist-packages/tensorflow/python/framework/ops.py:5600(_get_graph_from_inputs)
12095/6821    0.009    0.000    0.159    0.000 /usr/lib/python3.5/contextlib.py:57(__enter__)
        8    0.156    0.019    0.156    0.019 {method 'close' of '_io.BufferedRandom' objects}
       88    0.000    0.000    0.155    0.002 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/state_ops.py:192(assign)
       88    0.002    0.000    0.155    0.002 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/gen_state_ops.py:28(assign)
       11    0.006    0.001    0.154    0.014 /usr/lib/python3.5/inspect.py:690(getmodule)
      936    0.008    0.000    0.154    0.000 /usr/local/lib/python3.5/dist-packages/tensorflow/python/util/tf_inspect.py:199(getfullargspec)
     4893    0.005    0.000    0.149    0.000 /usr/local/lib/python3.5/dist-packages/tensorflow/python/framework/ops.py:5542(get_default_graph)
     4893    0.008    0.000    0.144    0.000 /usr/local/lib/python3.5/dist-packages/tensorflow/python/framework/ops.py:5200(get_default)
       40    0.001    0.000    0.142    0.004 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/gen_array_ops.py:6222(reshape)
       99    0.140    0.001    0.140    0.001 {method 'tostring' of 'numpy.ndarray' objects}
      936    0.034    0.000    0.140    0.000 /usr/lib/python3.5/inspect.py:1052(getfullargspec)
    13941    0.137    0.000    0.137    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     4802    0.039    0.000    0.133    0.000 /usr/local/lib/python3.5/dist-packages/numpy/lib/function_base.py:62(rot90)
       89    0.008    0.000    0.131    0.001 /usr/local/lib/python3.5/dist-packages/tensorflow/python/client/session.py:473(build_results)
      288    0.000    0.000    0.128    0.000 /usr/local/lib/python3.5/dist-packages/tensorflow/python/framework/ops.py:5207(_GetGlobalDefaultGraph)
        1    0.000    0.000    0.128    0.128 /usr/local/lib/python3.5/dist-packages/tensorflow/python/framework/ops.py:2792(__init__)
       12    0.000    0.000    0.127    0.011 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/array_ops.py:529(slice)
       12    0.000    0.000    0.127    0.011 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/gen_array_ops.py:7252(_slice)
29053/28847    0.126    0.000    0.126    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.122    0.122 /usr/local/lib/python3.5/dist-packages/tensorflow/python/training/saver.py:960(__init__)
        1    0.000    0.000    0.122    0.122 /usr/local/lib/python3.5/dist-packages/tensorflow/python/training/saver.py:1103(build)
        1    0.000    0.000    0.122    0.122 /usr/local/lib/python3.5/dist-packages/tensorflow/python/training/saver.py:1112(_build)
        1    0.000    0.000    0.122    0.122 /usr/local/lib/python3.5/dist-packages/tensorflow/python/training/saver.py:748(_build_internal)
        4    0.000    0.000    0.120    0.030 /usr/lib/python3/dist-packages/scipy/misc/pilutil.py:258(toimage)
        4    0.118    0.029    0.119    0.030 /usr/lib/python3/dist-packages/scipy/misc/pilutil.py:33(bytescale)
        1    0.000    0.000    0.115    0.115 /usr/local/lib/python3.5/dist-packages/tensorflow/python/framework/c_api_util.py:45(__init__)
        1    0.115    0.115    0.115    0.115 {built-in method _pywrap_tensorflow_internal.TF_NewGraph}
     2251    0.037    0.000    0.112    0.000 /usr/local/lib/python3.5/dist-packages/tensorflow/python/framework/ops.py:2306(get_attr)
     4802    0.007    0.000    0.105    0.000 /home/sujithpk/Desktop/road/src/functions.py:167(value_to_class)
        1    0.000    0.000    0.105    0.105 /home/sujithpk/Desktop/road/src/functions.py:194(<listcomp>)
        1    0.000    0.000    0.105    0.105 /home/sujithpk/Desktop/road/src/functions.py:129(label_img_crop)
     1162    0.002    0.000    0.104    0.000 /usr/lib/python3.5/posixpath.py:369(realpath)
     4888    0.010    0.000    0.102    0.000 /usr/local/lib/python3.5/dist-packages/numpy/core/fromnumeric.py:1821(sum)
     1280    0.007    0.000    0.098    0.000 /usr/local/lib/python3.5/dist-packages/tensorflow/python/framework/ops.py:5994(__enter__)
     4969    0.055    0.000    0.094    0.000 /usr/local/lib/python3.5/dist-packages/numpy/core/fromnumeric.py:64(_wrapreduction)
      936    0.008    0.000    0.093    0.000 /usr/lib/python3.5/inspect.py:2146(_signature_from_callable)
      890    0.021    0.000    0.093    0.000 /usr/local/lib/python3.5/dist-packages/tensorflow/python/framework/ops.py:3338(_create_op_helper)
     3249    0.013    0.000    0.093    0.000 /usr/local/lib/python3.5/dist-packages/tensorflow/python/framework/c_api_util.py:174(tf_output)
       10    0.000    0.000    0.092    0.009 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/clip_ops.py:158(global_norm)
       70    0.000    0.000    0.092    0.001 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/array_ops.py:59(identity)
       70    0.001    0.000    0.092    0.001 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/gen_array_ops.py:3341(identity)
     4286    0.028    0.000    0.092    0.000 /usr/local/lib/python3.5/dist-packages/tensorflow/python/framework/ops.py:5220(get_controller)
        3    0.000    0.000    0.091    0.030 /home/sujithpk/Desktop/road/src/functions.py:124(input_img_crop)
       55    0.001    0.000    0.090    0.002 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/math_ops.py:859(binary_op_wrapper)
12095/6821    0.019    0.000    0.089    0.000 /usr/lib/python3.5/contextlib.py:63(__exit__)
1163/1162    0.017    0.000    0.086    0.000 /usr/lib/python3.5/posixpath.py:377(_joinrealpath)
        1    0.000    0.000    0.084    0.084 /usr/local/lib/python3.5/dist-packages/tensorflow/python/training/saver.py:383(_AddRestoreOps)
      936    0.037    0.000    0.084    0.000 /usr/lib/python3.5/inspect.py:2065(_signature_from_function)
      230    0.000    0.000    0.081    0.000 /usr/local/lib/python3.5/dist-packages/tensorflow/python/framework/ops.py:993(convert_to_tensor)
       43    0.000    0.000    0.075    0.002 /usr/local/lib/python3.5/dist-packages/tensorflow/python/training/saver.py:111(restore)
       25    0.001    0.000    0.073    0.003 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/array_ops.py:1514(zeros)
       24    0.000    0.000    0.072    0.003 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/variable_scope.py:893(<lambda>)
       24    0.000    0.000    0.072    0.003 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/init_ops.py:97(__call__)
        6    0.000    0.000    0.071    0.012 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/random_ops.py:139(truncated_normal)
     1182    0.071    0.000    0.071    0.000 {built-in method posix.stat}
     2321    0.006    0.000    0.070    0.000 /usr/local/lib/python3.5/dist-packages/tensorflow/python/framework/ops.py:600(_as_tf_output)
       43    0.000    0.000    0.069    0.002 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/state_ops.py:53(variable_op_v2)
       43    0.002    0.000    0.069    0.002 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/gen_state_ops.py:1323(variable_v2)
       89    0.001    0.000    0.068    0.001 /usr/local/lib/python3.5/dist-packages/tensorflow/python/client/session.py:1310(_extend_graph)
        5    0.000    0.000    0.064    0.013 /usr/lib/python3/dist-packages/matplotlib/image.py:1252(imread)
       89    0.062    0.001    0.062    0.001 {built-in method _pywrap_tensorflow_internal.ExtendSession}
       13    0.000    0.000    0.061    0.005 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/control_flow_ops.py:3432(tuple)
     3249    0.024    0.000    0.056    0.000 /usr/local/lib/python3.5/dist-packages/tensorflow/python/pywrap_tensorflow_internal.py:964(__init__)
     4802    0.024    0.000    0.054    0.000 /usr/local/lib/python3.5/dist-packages/numpy/lib/function_base.py:148(flip)
       12    0.001    0.000    0.049    0.004 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/gen_nn_ops.py:876(conv2d)
        8    0.000    0.000    0.046    0.006 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/nn_grad.py:500(_Conv2DGrad)
    12095    0.013    0.000    0.045    0.000 /usr/lib/python3.5/contextlib.py:131(helper)
        5    0.045    0.009    0.045    0.009 {built-in method matplotlib._png.read_png}
       32    0.000    0.000    0.044    0.001 /usr/local/lib/python3.5/dist-packages/PIL/PngImagePlugin.py:667(putchunk)
     1189    0.036    0.000    0.044    0.000 /usr/local/lib/python3.5/dist-packages/tensorflow/python/util/tf_stack.py:31(extract_stack)
    20647    0.018    0.000    0.043    0.000 /usr/local/lib/python3.5/dist-packages/numpy/core/numeric.py:504(asanyarray)
       64    0.000    0.000    0.043    0.001 /usr/local/lib/python3.5/dist-packages/PIL/PngImagePlugin.py:90(_crc32)
       64    0.043    0.001    0.043    0.001 {built-in method zlib.crc32}
